language,title
en,Rina Yerushalmi
en,Lola Pashalinski
en,Chloë Bass
en,Morgan O'Hara
en,Barbara Benedek
en,Sheila Dabney 
en,Antonieta Figueroa
en,Malagasy weaving 
en,Catherine Maude Nichols
en,Eleanor Milne 
en,Alix Madigan
en,Danzy Senna 
en,Millie Gamble 
en,Geri Ashur
en,Shu Lea Cheang 
en,Jessica Hagedorn 
en,Magaly Alabau 
en,Femke Hiemstra 
en,Marion Boyd Allen 
en,Danitra Vance 
en,Lisa Frank 
en,Math Bass 
en,Amanda Burk 
en,Transcendence Gospel Choir
en,Gemma Nelson 
en,Anna Walinska 
en,Kim Anno 
en,Faith Ringgold 
en,Suellen Rocca 
en,Sokari Douglas Camp 
en,Helen LaFrance 
en,Blondell Cummings 
en,Hilda Hilst 
en,Amelia Etlinger
en,Ulrike Rosenbach 
en,Sergio Chejfec 
en,Wall Hangings (exhibition) 
en,Marianne Peretti 
en,Laura Dean (choreographer) 
en,Seagram Museum 
en,Dancenoise 
en,Ariel (poem) 
en,Marilyn Nance 
en,Amanda Browder 
en,Brandon Teena 
en,Remedios Varo 
en,Samanta Schweblin 
en,Jack Lenor Larsen 
en,Carmen de Lavallade 
en,Mildred Constantine 
en,Joyce J. Scott 
en,Niv Acosta 
en,Mary Nimmo Moran 
en,Amaza Lee Meredith 
en,Lisa Edelstein 
en,Irene McKinney 
en,Wendy Red Star 
en,Royal Society of Painter-Printmakers 
en,Martine Syms 
en,Candida Höfer 
en,Violet Gillett 
en,Ruth E. Carter 
en,Sun Yung Shin 
en,Anne Marie Schleiner 
en,Dahomey Amazons 
en,Jennifer Baumgardner 
en,Idea Vilariño 
en,The Bell Jar 
en,Alice Lok Cahana 
en,The Dybbuk 
en,Kolodzei Art Foundation 
en,Anna Frants 
en,Tania Bruguera 
en,Russian Futurism 
en,Jessica Dismorr 
en,Dorothea Lasky 
en,Deborah Elliott Deutschman 
en,Anne Sexton 
en,Seascape ecology 
en,Reusable launch system 
en,Mary E. Wrinch 
en,LaToya Ruby Frazier 
en,Paola Antonelli 
en,Anglès, Girona 
en,Tarsila do Amaral 
en,Maggie Nelson 
en,Anthony J. DePace 
en,Dolores Dembus Bittleman 
en,Cate Marvin 
en,Anna J. Cooper 
en,Kelly Sue DeConnick 
en,Lee Bontecou 
en,Cory Chisel and The Wandering Sons 
en,Dora Milaje 
en,Columbia Center for Oral History Research 
en,Betsey Johnson 
en,Cedar Grove, New Jersey 
en,Mirella Bentivoglio 
en,Butterfly Music Transgender Chorus 
en,Cedar Grove Schools 
en,Technology during World War I 
en,Temple Israel of the City of New York 
en,Natalia Dumitresco 
en,List of Christian Nobel laureates 
en,Classes of computers 
en,Jennifer Monson 
en,Arnold Drury 
en,My Two Worlds 
en,AR-15 style rifle 
en,Jacqueline Winsor 
en,Jean-Michel Basquiat 
en,Centre Block 
en,Kati Horna 
en,Smart camera 
en,Kitchener-Waterloo Symphony 
en,Making History (TV series) 
en,Corn Belt 
en,Archivio di Nuova Scrittura 
en,Jean Blackwell Hutson 
en,Florence M. Rice 
en,Sabrina (1995 film) 
en,Academy Award for Best Original Screenplay 
en,Persistent homology 
en,Nation of Islam 
en,Academy Award for Best Picture 
en,1989 in film 
en,1995 in film 
en,56th Academy Awards 
en,Writers Guild of America Award 
en,Golden Globe Award for Best Screenplay 
en,Writers Guild of America Award for Best Original Screenplay 
en,BAFTA Award for Best Original Screenplay 
en,1983 Los Angeles Film Critics Association Awards 
en,The Big Chill (film) 
en,Men Don't Leave 
en,Barbara Zucker 
en,Emma Ríos 
en,Stage Blood 
en,Virginia Woolf 
en,The Prince and the Pauper (1920 film) 
en,Belit sağ 
en,Hoplophobia 
en,Car-free movement 
en,Technology of the New York City Subway 
en,Human mission to Mars 
en,Leon Katz 
en,Post-structuralism 
en,Women in Red 
en,Christi Belcourt 
en,John P. O'Neill 
en,Amy Sherald 
en,Bell hooks 
en,Juana de Ibarbourou 
en,Ukrainian decommunization laws 
en,Stoneman Douglas High School shooting 
en,Mirtha Dermisache 
en,Soil classification 
en,Plumb (Field Music album) 
en,Stuart Saves His Family 
en,Tony Ellin 
en,Ananias of Damascus 
