qids,title
wd:Q11100,Deval Patrick
wd:Q1789,Ashton Eaton
wd:Q4617,Corbin Bleu
wd:Q5795,Carmelita Jeter
wd:Q5921,Chuck Berry
wd:Q8027,"Martin Luther King, Jr."
wd:Q11586,Annie Easley
wd:Q11877,Ivory Joe Hunter
wd:Q14542,Tracy Morgan
wd:Q15615,Lil Wayne
wd:Q24178,Marreese Speights
wd:Q31293,Vondie Curtis-Hall
wd:Q36804,Eazy-E
wd:Q40657,Terrence Jones
wd:Q41597,Joan Higginbotham
wd:Q44570,John Lee Hooker
wd:Q44638,Montel Vontavious Porter
wd:Q46040,Chris Paul
wd:Q60971,Armond Hill
wd:Q62766,Jay-Z
wd:Q65039,Dion Waiters
wd:Q72832,Cassie Ventura
wd:Q109612,Thelonious Monk
wd:Q110477,Cannonball Adderley
wd:Q115894,Arvell Jones
wd:Q117741,Andy Razaf
wd:Q121507,Alicia Keys
wd:Q131942,Kendrick Perkins
wd:Q137042,Nat King Cole
wd:Q150510,Shawn Kemp
wd:Q152453,Keri Hilson
wd:Q160456,Angela Davis
wd:Q161877,Ashanti
wd:Q161971,Leonard Ware
wd:Q162202,Nicki Minaj
wd:Q166312,Wesley Morris
wd:Q166454,Boosie Badazz
wd:Q169034,Yung Joc
wd:Q169452,Shaquille O'Neal
wd:Q178166,Vin Diesel
wd:Q179157,The Notorious B.I.G.
wd:Q180301,Arian Foster
wd:Q184249,Kelly Rowland
wd:Q185742,DeJuan Collins
wd:Q187965,Martin Holley
wd:Q189489,Zendaya
wd:Q195810,Antrel Rolle
wd:Q196185,Russell Westbrook
wd:Q202295,Tracy McGrady
wd:Q203960,James Earl Jones
